"parent_item_category_uid","parent_item_category_id","parent_item_category_desc","item_category_uid","item_category_id","item_category_desc"
"1","ROOT","Root Category","54","MASSAGE","Massage Products"
"36","ANAL","Anal","264","ANAL_BESTSELLERS","Best Sellers"
"36","ANAL","Anal","265","ANAL_KITS","Kits"
"36","ANAL","Anal","266","ANAL_PLUGSANDPROBES","Plugs and Probes"
"36","ANAL","Anal","267","ANAL_PROSTATE","Prostate"
"37","BACHELOR","Bachelor","268","BACHELOR_BESTSELLERS","Best Sellers"
"37","BACHELOR","Bachelor","269","BACHELOR_BUTTONS","Buttons"
"37","BACHELOR","Bachelor","270","BACHELOR_GAMES","Games"
"37","BACHELOR","Bachelor","271","BACHELOR_GLASSES","Glasses"
"37","BACHELOR","Bachelor","272","BACHELOR_OTHER","Other"
"37","BACHELOR","Bachelor","273","BACHELOR_TSHIRTS","T Shirts"
"38","BACHELORETTE","Bachelorette","274","BACHELORETTE_BESTSELLERS","Best Sellers"
"38","BACHELORETTE","Bachelorette","275","BACHELORETTE_CLOTHING","Clothing"
"38","BACHELORETTE","Bachelorette","276","BACHELORETTE_GAMES","Games"
"38","BACHELORETTE","Bachelorette","277","BACHELORETTE_GIFTBAGS","Gift Bags"
"38","BACHELORETTE","Bachelorette","278","BACHELORETTE_PARTY","Party"
"39","BEDBATH","Bed and Bath","279","BEDBATH_BATH","Bath"
"39","BEDBATH","Bed and Bath","280","BEDBATH_BESTSELLERS","Best Sellers"
"39","BEDBATH","Bed and Bath","281","BEDBATH_BODYDUST","Body Dust"
"39","BEDBATH","Bed and Bath","282","BEDBATH_BODYLOTION","Body Lotion"
"39","BEDBATH","Bed and Bath","283","BEDBATH_CANDLES","Candles"
"39","BEDBATH","Bed and Bath","284","BEDBATH_ROMANTIC","Romantic"
"40","BOOKS","Books","285","BOOKS_BESTSELLERS","Best Sellers"
"40","BOOKS","Books","286","BOOKS_EROTICMASSAGE","Erotic Massage"
"40","BOOKS","Books","287","BOOKS_GAMES","Games"
"40","BOOKS","Books","288","BOOKS_GUIDES","Guides"
"40","BOOKS","Books","289","BOOKS_KAMASUTRA","Kama Sutra"
"43","CONDOMS","Condoms","290","CONDOMS_BESTSELLERS","Best Sellers"
"43","CONDOMS","Condoms","291","CONDOMS_EXTENDED","Extended"
"43","CONDOMS","Condoms","292","CONDOMS_FLAVORED","Flavored"
"43","CONDOMS","Condoms","293","CONDOMS_GLOW","Glow in the Dark"
"43","CONDOMS","Condoms","294","CONDOMS_LARGER","Larger"
"43","CONDOMS","Condoms","295","CONDOMS_NOVELTY","Novelty"
"43","CONDOMS","Condoms","296","CONDOMS_REGULAR","Regular"
"43","CONDOMS","Condoms","297","CONDOMS_RIBBED","Ribbed/Twisted/Studded"
"43","CONDOMS","Condoms","298","CONDOMS_SENSITIVE","Sensitive"
"43","CONDOMS","Condoms","299","CONDOMS_SPERMICIDAL","Spermicidal"
"43","CONDOMS","Condoms","300","CONDOMS_ULTRATHIN","Ultrathin/Microthin"
"43","CONDOMS","Condoms","301","CONDOMS_WARMING","Warming"
"44","DONGS","Dongs","302","DONGS_BESTSELLERS","Best Sellers"
"44","DONGS","Dongs","303","DONGS_CLITSTIM","Clit Stimulating"
"44","DONGS","Dongs","304","DONGS_CYBERSKIN","Cyberskin"
"44","DONGS","Dongs","305","DONGS_DOUBLE","Double"
"44","DONGS","Dongs","306","DONGS_DOUBLEPENETRATOR","Double Penetrator"
"44","DONGS","Dongs","307","DONGS_GLASS","Glass"
"44","DONGS","Dongs","308","DONGS_JELLY","Jelly"
"44","DONGS","Dongs","309","DONGS_PORNSTAR","Porn Star"
"44","DONGS","Dongs","310","DONGS_REALISTIC","Realistic"
"45","DVD","DVD","311","DVD_BESTSELLERS","Best Sellers"
"45","DVD","DVD","312","DVD_GUIDES","Guides"
"45","DVD","DVD","313","DVD_MASSAGE","Massage"
"45","DVD","DVD","314","DVD_STRIP","Strip"
"45","DVD","DVD","315","DVD_TECHNIQUES","Techniques"
"46","EDIBLES","Edibles","316","EDIBLES_BESTSELLERS","Best Sellers"
"46","EDIBLES","Edibles","317","EDIBLES_BODYTOPPING","Body Topping"
"46","EDIBLES","Edibles","318","EDIBLES_CANDY","Candy"
"46","EDIBLES","Edibles","319","EDIBLES_CHOCOLATE","Chocolate"
"46","EDIBLES","Edibles","320","EDIBLES_FOOD","Food"
"46","EDIBLES","Edibles","321","EDIBLES_UNDERWEAR","Underwear"
"47","ENHANCERSFORMEN","Enhancers for Men","322","ENHANCERSFORMEN_BESTSELLERS","Best Sellers"
"47","ENHANCERSFORMEN","Enhancers for Men","323","ENHANCERSFORMEN_DESENSITIZERS","Desensitizers"
"47","ENHANCERSFORMEN","Enhancers for Men","324","ENHANCERSFORMEN_PILLS","Pills"
"47","ENHANCERSFORMEN","Enhancers for Men","325","ENHANCERSFORMEN_POTIONS","Potions"
"47","ENHANCERSFORMEN","Enhancers for Men","326","ENHANCERSFORMEN_STIMULATING","Stimulating"
"48","ENHANCERSFORWOMEN","Enhancers for Women","327","ENHANCERSFORWOMEN_BESTSELLERS","Best Sellers"
"48","ENHANCERSFORWOMEN","Enhancers for Women","328","ENHANCERSFORWOMEN_PILLS","Pills"
"48","ENHANCERSFORWOMEN","Enhancers for Women","329","ENHANCERSFORWOMEN_POTIONS","Potions"
"48","ENHANCERSFORWOMEN","Enhancers for Women","330","ENHANCERSFORWOMEN_TIGHTENING","Tightening"
"49","FETISH","Fetish","331","FETISH_BALLGAGS","Ball Gags"
"49","FETISH","Fetish","332","FETISH_BESTSELLERS","Best Sellers"
"49","FETISH","Fetish","333","FETISH_BLINDFOLDS","Blind Folds"
"49","FETISH","Fetish","334","FETISH_CLIPSANDCLAMPS","Clips and Clamps"
"49","FETISH","Fetish","335","FETISH_COLLARS","Collars"
"49","FETISH","Fetish","336","FETISH_CROPS","Crops"
"49","FETISH","Fetish","337","FETISH_FEATHERS","Feathers"
"49","FETISH","Fetish","338","FETISH_GAMES","Games"
"49","FETISH","Fetish","339","FETISH_JEWELRY","Jewelry"
"49","FETISH","Fetish","340","FETISH_KITS","Kits"
"49","FETISH","Fetish","341","FETISH_PADDLES","Paddles"
"49","FETISH","Fetish","342","FETISH_RESTRAINTS","Restraints"
"50","GAMES","Games","343","GAMES_BESTSELLERS","Best Sellers"
"50","GAMES","Games","344","GAMES_BOARDGAMES","Board"
"50","GAMES","Games","345","GAMES_CARD","Card"
"50","GAMES","Games","346","GAMES_DICE","Dice"
"50","GAMES","Games","347","GAMES_DRINKING","Drinking"
"50","GAMES","Games","348","GAMES_RINGTOSS","Ring Toss"
"50","GAMES","Games","349","GAMES_SCRATCHOFF","Scratch Off"
"50","GAMES","Games","350","GAMES_SMOKING","Smoking"
"50","GAMES","Games","351","GAMES_SPINNERS","Spinners"
"51","KITCHENBARWARE","Kitchen and Barware","352","KITCHENBARWARE_BESTSELLERS","Best Sellers"
"51","KITCHENBARWARE","Kitchen and Barware","353","KITCHENBARWARE_CAKE","Cake"
