Nalpac_Item_Number,Description,weight,MFG_Number,MFG_Name,WholeSale_Price,Selling_UOM,Long_Description,extended_desc,Quantity_Onhand,UPC_Number,Category_ID,Category_Description
505,Bulk: Condom Asst./Lubed,0.001,8833,Top Cat International Corp.,0.17,EA,<p>Bulk Condom Assortment</p>,,2788,505,CONDOMSNEW_ASSORTED,Assorted Condoms
521,Slippery Stuff Gel Packets .25oz.,0.1,PKTSPT,"Wallace-o farrell, Inc.",0.4,EA,"<p><strong><span style=""font-size: medium;"">Slippery Stuff Gel Lubricant Packets (.25oz)</span></strong></p><p><strong>Slippery Stuff</strong> personal lubricant enhances the pleasure of intimate contact without leaving a sticky residue. Water based, odorless, hygienic, and water soluble, <strong>Slippery Stuff</strong> will last all night and then some.</p>",,642,521,LUBES_ASSORTED,Assorted Lubricant
547,Crown Rainbow Square (1000),0.001,31000,Paradise Marketing Services,0.2,EA,"<p><strong><span style=""font-size: medium;"">Durex Rainbow Square (Bulk 1000)</span></strong></p><p>Durex Rainbow colors come in a variety of colors to add fun and excitement. Lubricated and made out latex.</p>",,162,547,CONDOMSNEW_ASSORTED,Assorted Condoms
10006,Stallion Spray Delay,0.05,307,Novelties By Nasswalk,6.35,EA,"<p><span class=""ItemSearchResults_Description""><strong><span style=""font-size: medium;"">Stallion Spray Delay</span></strong></span></p><p>End the problem of early orgasm with <strong>Stallion</strong> slo cum spray. <strong>Stallion Spray Delay</strong> is a male endurance spray to help maintain a longer lasting erection.</p>", ,23,7.83E+11,ENHANCERS_MEN,Enhancers for Men
10079,Beckys Beginner Pussy,1.09,PD3109-00,PD Products LLC,18,EA,"<p>Slip into your fantasy girl and enjoy the sensation of a remarkable soft, beginner pussy. Once you penetrate the soft lips, the yielding sleeve wraps around your manhood and clings to you like a real lover would. Her luscious labia looks and feels just like the real thing. Just add your favorite Moist lubricant and prepare yourself for a wet and wild experience.</p><p>Battery: AA (2 not  included)</p>",This item has an interchangeable substitute.,2,6.04E+11,MASTURBATOR_POCKET,Pocket Masturbators
10100,Liquid Latex: Black 16oz.,1.18,16 OZ BLK,Video Tech Inc.,8.58,EA,"<p><strong><span style=""font-size: medium;"">Liquid Latex (Black/16oz)</span></strong></p><p><strong>Liquid Latex</strong> is excellent for producing any sort of elaborate theatrical costume. It goes on and comes off easily, and is also superb for producing molded latex items from positive plaster castings or metal molds.&nbsp; Featuring a completely non-toxic formula, <strong>Liquid Latex</strong> will actually lift off your skin by itself after several hours, allowing you to use the latex body garment again and again.&nbsp;<strong>Liquid Latex</strong>&nbsp;will not clog your pores.&nbsp;&nbsp;</p>",,3,24589101002,LINGERIECLOTHING_FETISH,Fetish Wear
10159,Kama Sutra Massage Therapy Kit (5) 2oz.,0.82,10024,Kama Sutra Co.,14,EA,"<p><strong><span style=""font-size: medium;"">Kama Sutra Assorted Massage Oil</span></strong></p><div>Drizzle your favorite scented massage oil onto your hands or directly onto your lover's body. Gently caress into the body and enjoy aromatherapeutic scent, as well as the light and silky texture. Note: <strong>Aromatic Massage Oils</strong> can also be used in bath water for beautifully scented, soft and silky skin.</div><div>Includes: Set of (5) Aromatic Massage Oils - Sweet Almond, Serenity, Pleasure Garden, Healing Blend &amp; Soaring Spirit.</div>",,82,7.39E+11,BATHBODY_KAMASUTRA,Kama Sutra
10172,SS: Bondage Bedsheets (Queen),3.85,SS201-01,"Sportsheets International, Inc.",92,EA,"<p><strong><span style=""font-size: medium;"">The Sportsheet Bondage Bedsheet (Queen)</span></strong></p><p>For 15 years the original <strong>Sportsheet Bondage Bed Sheet</strong> has revolutionized bedroom bandage play. It is fitted, velvet-like Velcro &copy;-compatible bedcover with 4 easy-to-place Anchor Pads &trade;. Attach any of the 4 Sports Cuffs &trade; to an arm or leg which then quickly attaches to an Anchor Pad &trade; on the bedsheet. Change your bedroom into a bondage fantasy playground. Sheet is machine washable.</p>", ANCHOR PADS,2,6.47E+11,BDSM_RESTRAINT,Restraints & Ball Gags
10173,SS: Bondage Bedsheets (King),4.2,SS200-01,"Sportsheets International, Inc.",105,EA,"<p><strong><span style=""font-size: medium;"">The Sportsheet Bondage Bedsheet (King)</span></strong></p><p>For 15 years the original Sportsheet Bondage Bed Sheet has revolutionized bedroom bandage play. It is fitted, velvet-like Velcro &copy;-compatible bedcover with 4 easy-to-place Anchor Pads &trade;. Attach any of the 4 Sports Cuffs &trade; to an arm or leg which then quickly attaches to an Anchor Pad &trade; on the bedsheet. Change your bedroom into a bondage fantasy playground. Sheet is machine washable.</p>",,4,6.47E+11,BDSM_RESTRAINT,Restraints & Ball Gags
10174,SS: Sportscuffs (Black),0.24,SS400-01,"Sportsheets International, Inc.",11.95,EA,"<p><strong><span style=""font-size: medium;"">Sportscuffs (Black)</span></strong></p><p>These&nbsp;soft adjustable neoprene cuffs with Velcro&reg; closures are perfect for&nbsp;wrist or ankles or put combine them to make a collar.&nbsp;Use alone or with Sportsheets Tethers&trade;.</p>",,27,6.47E+11,BDSM_RESTRAINT,Restraints & Ball Gags
10177,SS: Heavy Duty Supercuffs (Black),0.32,SS410-01,"Sportsheets International, Inc.",16.25,EA,"<p><strong><span style=""font-size: medium;"">Sportscuffs Super Cuffs (Black)</span></strong></p><p>There&rsquo;s a reason we call them <strong>Super Cuffs</strong>. These extra-secure cuffs are comfortable, yet heavy-duty for those extra playful nights. Double locking Velcro&reg; straps and stainless steel welded D-rings make them strong and secure.</p>",,15,6.47E+11,BDSM_RESTRAINT,Restraints & Ball Gags
10221,Enjoyment Gel Arctic Mint 2oz.,0.21,ENJ-MIN,The Pleasure Company,6.5,EA,"<p><strong><span style=""font-size: medium;"">Enjoyment Gel Arctic Mint (2oz)</span></strong></p><p>This gel is a cooling mint get that prolongs love making. <strong>Enjoyment Gel</strong> will desensitize the area where it is applied, suppressing his immediate need to climax. <strong>Enjoyment </strong>is also a wonderful numbing agent for anal play and to prevent the gag reflex.</p><p>&nbsp;</p><p>&nbsp;</p>",,6,24589102214,ENHANCERS_ASSORTED,Assorted Enhancers
